,exposures,azimuth,elevation,delta_ra,delta_dec,delta_az,delta_el,pointing_distance,delta_x [pixels],delta_y [pixels],delta_r [pixels]
17,2022050500325,112.345300842528,63.143768368565404,-4.936934451598063,-6.741899503003879,178.1661289793817,323.23498590232305,7.820690918903871,-0.20218066689508815,7.770914040077143,7.773543724732897
18,2022050500327,123.690382469882,45.6364505573147,2.544675682918296,-5.212724388201195,172.2288203352889,264.0629028133674,5.525288380428698,-4.970914288823099,2.459945092932012,5.546288734556284
19,2022050500329,134.820537794803,29.124873338558196,-0.7470833919114739,-6.224570379720262,112.8525984414523,169.2669772989987,6.242351461674208,-4.334535867429389,4.489462554313746,6.240470752484715
20,2022050500331,135.54978304026,48.7496623977058,-0.9598917628750314,-3.7432890716843303,309.6318249123897,196.9834457620152,3.790338213789697,-2.704355790482705,2.6555070411413686,3.7901527524716894
21,2022050500333,135.527745116924,79.3496877535072,0.947801218501354,-0.050781489042606154,1605.5864127531322,219.42877587745215,0.7543778997199532,-0.5648168893282522,-0.597178383923111,0.821973321157969
22,2022050500335,146.363709051584,24.8254795952816,-0.699684407334189,-5.948314541393529,114.95539260690748,69.37152906425723,5.958747504611886,-4.168690328188083,4.255827089430693,5.957352034877659
23,2022050500337,146.429792423223,45.1059699638718,-2.8838415411200913,-3.0338369457098224,336.67424113810966,105.81305471077087,3.3629114974056455,-2.0831893507248376,2.6289756614244992,3.3542794903430084
24,2022050500339,158.269904334506,71.8829377575603,-0.1812961741052277,-0.842028620601809,1313.165621750852,22.696866814823125,0.8511664099737402,-0.8559966069891163,0.21917605864303846,0.8836109640895004
25,2022050500341,157.969427187403,35.5171777888318,-8.171321147324306,-3.8753012645543095,262.428331691558,-5.786418238207602,4.71923548468681,-2.3556213943745727,4.068345477312405,4.7011048782603755
26,2022050500343,165.726262558659,55.7707106157177,-6.181685221076805,0.1404661933264606,651.2310273148046,-56.76909969343171,2.8588512115603684,-0.24249461631804,2.8042223357016214,2.814687646434519
27,2022050500345,168.870952804049,44.6414895935886,-9.493175287479971,-1.4305693402491215,424.23082668391316,-100.49042783566335,3.10982835926603,-1.950630241963011,2.411714848718306,3.101826373669074
